WK,SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
1,1,9758,C.J. Stroud,QB,24.0,HOU,26.0,26,26,9.72,9.72,9.72,1,1,1,63,63,0,70.4%,115,27,19,7,8,1,74.30,220,3,0,188,6.96,9.89,0,0,0,0,0,0,0,0,0.0,0.0,5,0,3,32,0,NA,32,6.4,100.0%,NA,NA,NA,3,NA,10,32,NA,NA,NA,NA,NA,7,25.9%,2.65,7.4%,41.2%,6.3,NA,34,220,@ LAR,17,·,17.9,-8.2
1,1,9224,Chase Brown,RB,25.5,CIN,22.0,21,18,13.1,12.1,11.1,1,1,1,52,39,0,0.0%,0,0,0,0,0,0,0.00,43,0,0,0,0.00,0.00,2,-2,1,0,0,3,10,8,4.0,2.7,21,2,2,51,1,86,43,2.05,75.0%,4,4.10,0.190,3,0.600,3,24,0.125,3.0,NA,13.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,51,@ CLE,28,·,18.3,-5.2
1,1,4892,Baker Mayfield,QB,30.4,TB,12.0,12,12,22.58,22.58,22.58,1,1,1,58,58,0,53.1%,122,32,17,7,15,0,99.30,206,1,3,167,5.22,9.82,0,0,0,0,0,0,0,0,0.0,0.0,5,0,3,39,0,NA,39,7.8,100.0%,NA,NA,NA,3,NA,13,37,NA,NA,NA,NA,NA,10,31.3%,2.95,15.6%,40.5%,10.2,NA,37,206,@ ATL,31,·,21.6,1.0
1,1,11620,Rome Odunze,WR,23.3,CHI,19.0,21,22,15.7,12.7,9.7,1,1,1,67,63,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,35,0,2,1,9,2,37,6.2,4.1,0,0,0,37,0,NA,0,0,94.0%,NA,NA,NA,0,NA,3,9,0.333,3.0,34,25.7%,1.09,0,NA,NA,NA,NA,NA,0.059,NA,37,vs MIN,32,·,10.9,4.8
1,1,8138,James Cook,RB,26.0,BUF,4.0,5,4,21.2,18.7,16.2,1,1,1,85,48,0,0.0%,0,0,0,0,0,0,0.00,44,0,0,0,0.00,0.00,5,-6,0,1,0,5,64,58,11.6,11.6,13,1,2,102,1,30,44,3.38,56.0%,6,2.30,0.462,3,0.692,4,18,0.222,4.0,NA,10.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,102,vs BAL,2,·,14.4,6.8
1,1,11559,Michael Penix Jr.,QB,25.4,ATL,10.0,10,10,24.02,24.02,24.02,1,1,1,76,76,1,64.3%,109,42,27,15,15,0,93.20,319,1,1,298,7.10,11.04,0,0,0,0,0,0,0,0,0.0,0.0,6,0,2,21,1,NA,21,3.5,100.0%,NA,NA,NA,3,NA,19,48,NA,NA,NA,NA,NA,16,38.1%,2.56,9.5%,43.5%,7.3,NA,46,319,vs TB,4,·,17.9,6.1
1,1,5850,Josh Jacobs,RB,27.6,GB,18.0,14,12,14,13.5,13,1,1,1,48,42,0,0.0%,0,0,0,0,0,0,0.00,66,0,0,0,0.00,0.00,1,1,0,0,0,1,3,4,4.0,4.0,19,1,2,70,1,61,66,3.47,88.0%,1,3.20,0.053,3,0.373,3,20,0.150,3.0,NA,4.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,70,vs DET,26,·,16.2,-2.2
1,1,8183,Brock Purdy,QB,25.7,SF,14.0,14,14,18.78,18.78,18.78,1,1,1,76,76,0,74.3%,156,35,26,13,9,2,92.20,294,1,2,277,7.91,10.65,0,0,0,0,0,0,0,0,0.0,0.0,5,0,0,17,0,NA,17,3.4,100.0%,NA,NA,NA,0,NA,15,40,NA,NA,NA,NA,NA,15,42.9%,3.05,14.3%,60.5%,7.5,NA,38,294,@ SEA,21,OUT,21.1,-2.3
1,1,6801,Tee Higgins,WR,26.7,CIN,60.0,59,61,6.3,4.8,3.3,1,1,1,52,41,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,31,0,2,0,4,2,33,11.0,8.3,0,0,0,33,0,NA,0,0,79.0%,NA,NA,NA,0,NA,2,4,0.500,2.0,23,17.4%,1.43,0,NA,NA,NA,NA,NA,0.087,NA,33,@ CLE,8,·,14.5,-8.2
1,1,8150,Kyren Williams,RB,25.0,LAR,19.0,15,13,13.9,13.4,12.9,1,1,1,60,49,0,0.0%,0,0,0,0,0,0,0.00,66,0,0,0,0.00,0.00,1,-4,0,0,0,2,7,3,3.0,1.5,18,2,2,69,1,61,66,3.67,82.0%,4,3.40,0.222,3,0.562,3,20,0.150,3.0,NA,6.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,69,vs HOU,20,·,16.8,-2.9
