WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CPOE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
14,6853,Van Jefferson,WR,29.2,TEN,69.0,71,74,3.7,2.7,1.7,1,1,1,66,48,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,4,1,0,0,4,13,17,8.5,4.3,0,0,0,17,0,NA,0,0,73.0%,NA,NA,NA,0,NA,0,4,0.000,0.0,22,14.3%,0.77,0,NA,NA,NA,NA,NA,0.000,NA,17,NA,NA,@ CLE,28,·,6.4,-2.7
14,10234,Derius Davis,WR,25.0,LAC,999.0,999,999,0,0,0,1,0,0,74,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs PHI,17,·,0.5,-0.5
14,6011,Gardner Minshew,QB,29.4,KC,999.0,999,999,0,0,0,1,0,0,64,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs HOU,32,·,·,·
14,12715,Thomas Fidone,TE,23.0,NYG,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,BYE,BYE,BYE,BYE,BYE
14,12494,Kyle McCord,QB,23.0,PHI,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ LAC,30,·,·,·
14,7083,Tyler Huntley,QB,27.6,BAL,999.0,999,999,0,0,0,1,0,0,80,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs PIT,7,·,·,·
14,4147,Samaje Perine,RB,30.0,CIN,45.0,45,45,4.8,4.3,3.8,1,1,0,60,22,0,0.0,0,0,0,0,0,0,0.00,31,0,0,0,0.00,0.00,1,1,0,1,0,1,6,7,7.0,7.0,6,0,3,38,0,29,31,5.17,37.0%,2,4.90,0.333,3,0.823,4,7,0.571,4.0,NA,2.8%,NA,0,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,@ BUF,4,·,7.7,-2.9
14,11306,Xavier Gipson,WR,24.6,PHI,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ LAC,32,·,0.5,-0.5
14,5987,Alexander Mattison,RB,27.3,MIA,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ NYJ,5,IR,IR,IR
14,5985,Foster Moreau,TE,28.4,NO,38.0,36,35,2.6,2.1,1.6,1,1,1,58,26,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,6,0,1,0,1,10,16,16.0,16.0,0,0,0,16,0,NA,0,0,45.0%,NA,NA,NA,0,NA,1,1,1.000,1.0,3,5.0%,5.33,0,NA,NA,NA,NA,NA,0.333,NA,16,NA,NA,@ TB,20,·,3.4,-0.8
14,11210,Malik Heath,WR,25.6,GB,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs CHI,4,·,·,·
14,6920,Isaiah Hodgins,WR,26.9,PIT,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ BAL,10,·,·,·
14,827,Tyrod Taylor,QB,36.2,NYJ,34.0,34,34,-0.76,-0.76,-0.76,1,1,1,58,6,0,25.0,1,4,1,0,3,1,0.00,6,0,0,6,1.50,6.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,10.0%,NA,NA,NA,0,NA,0,4,NA,NA,NA,NA,NA,0,0.0%,3.38,0.0%,50.0%,2.50,NA,4,6,-34.2%,-1.72,vs MIA,9,·,19.1,-19.9
14,4351,Tim Patrick,WR,31.8,JAX,9.0,9,8,18.8,16.3,13.8,1,1,0,64,42,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,67,0,2,1,6,11,78,15.6,13.0,0,0,0,78,0,NA,0,0,66.0%,NA,NA,NA,0,NA,3,6,0.500,3.0,25,19.4%,3.12,0,NA,NA,NA,NA,NA,0.080,NA,78,NA,NA,vs IND,9,·,2.7,16.1
14,5917,Mecole Hardman,WR,27.6,FA,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,,IR,IR,IR
14,6850,Harrison Bryant,TE,27.4,HOU,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ KC,27,IR,IR,IR
14,8118,David Bell,WR,24.8,CLE,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs TEN,8,NA,NA,NA
14,11729,Sione Vaki,RB,24.2,DET,999.0,999,999,0,0,0,1,0,0,62,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs DAL,15,·,·,·
14,5086,Marquez Valdes-Scantling,WR,31.0,SF,999.0,999,999,0,0,0,1,1,0,52,16,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,31.0%,NA,NA,NA,0,NA,0,1,0.000,0.0,16,2.9%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,BYE,BYE,BYE,BYE,BYE
14,829,Andy Dalton,QB,37.9,CAR,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,BYE,BYE,BYE,BYE,BYE
14,3257,Jacoby Brissett,QB,32.8,ARI,12.0,12,12,20.04,20.04,20.04,1,1,1,62,62,0,56.8,139,44,25,13,19,1,80.80,293,3,2,271,6.16,10.84,0,0,0,0,0,0,0,0,0.0,0.0,4,0,1,22,0,NA,22,5.5,100.0%,NA,NA,NA,1,NA,16,48,NA,NA,NA,NA,NA,15,34.1%,2.92,6.8%,48.0%,7.80,NA,50,293,-5.9%,-0.09,vs LAR,25,·,19.2,0.8
14,7608,Khalil Herbert,RB,27.4,SEA,999.0,999,999,0,0,0,1,0,0,58,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ ATL,10,·,·,·
14,3634,Kalif Raymond,WR,31.1,DET,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs DAL,1,OUT,OUT,OUT
14,6126,Irv Smith,TE,27.1,HOU,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ KC,27,Q,Q,Q
