WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE,TD(t)
8,9484,Tucker Kraft,TE,24.9,GB,1.0,1,1,33.3,29.8,26.3,1,1,1,64,59,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,15,1,3,2,9,128,143,20.4,15.9,0,0,0,143,0,NA,0,0,92.0%,NA,NA,NA,0,NA,5,9,0.556,5.0,32,24.3%,4.47,0,NA,NA,NA,NA,NA,0.094,NA,143,@ PIT,3,·,12.0,21.3,2.0
8,3163,Jared Goff,QB,31.0,DET,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
8,9756,Jordan Addison,WR,23.7,MIN,31.0,31,25,11.6,10.1,8.6,1,1,1,49,42,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,20,0,1,1,4,6,26,8.7,6.5,0,0,0,26,0,NA,0,0,86.0%,NA,NA,NA,0,NA,2,4,0.500,2.0,31,12.9%,0.84,0,NA,NA,NA,NA,NA,0.032,NA,26,@ LAC,20,·,12.1,-0.5,1.0
8,12530,Travis Hunter,WR,22.4,JAX,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
8,5870,Daniel Jones,QB,28.3,IND,10.0,10,10,23.18,23.18,23.18,1,1,1,53,47,0,72.4%,162,29,21,11,8,0,136.00,275,3,3,272,9.38,12.95,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,3,0,NA,3,3,89.0%,NA,NA,NA,0,NA,14,30,NA,NA,NA,NA,NA,14,48.3%,2.89,10.3%,27.3%,8.9,NA,33,275,vs TEN,26,·,20.8,2.4,3.0
8,7526,Jaylen Waddle,WR,26.8,MIA,5.0,4,3,20.9,18.4,15.9,1,1,1,69,54,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,50,0,3,1,6,49,99,19.8,16.5,0,0,0,99,0,NA,0,0,78.0%,NA,NA,NA,0,NA,4,6,0.667,4.0,25,22.2%,3.96,0,NA,NA,NA,NA,NA,0.120,NA,99,@ ATL,31,·,13.6,7.3,1.0
8,6801,Tee Higgins,WR,26.7,CIN,33.0,27,15,11.4,10.9,10.4,1,1,1,59,52,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,38,0,0,1,2,6,44,44.0,22.0,0,0,0,44,0,NA,0,0,88.0%,NA,NA,NA,0,NA,1,2,0.500,1.0,32,5.9%,1.38,0,NA,NA,NA,NA,NA,0.000,NA,44,vs NYJ,25,·,12.8,-1.4,1.0
8,9754,Quentin Johnston,WR,24.1,LAC,999.0,999,999,0,0,0,1,1,0,73,38,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,52.0%,NA,NA,NA,0,NA,0,0,NA,0.0,22,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,vs MIN,14,·,12.7,-12.7,0.0
8,7525,DeVonta Smith,WR,26.9,PHI,21.0,21,27,14.4,11.4,8.4,1,1,1,57,53,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,62,0,5,0,9,22,84,14.0,9.3,0,0,0,84,0,NA,0,0,90.0%,NA,NA,NA,0,NA,5,9,0.556,5.0,24,45.0%,3.50,0,NA,NA,NA,NA,NA,0.208,NA,84,vs NYG,3,·,16.0,-1.6,0.0
8,5846,DK Metcalf,WR,27.8,PIT,12.0,12,11,16.5,14,11.5,1,1,1,63,59,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,26,0,3,1,7,29,55,11.0,7.9,0,0,0,55,0,NA,0,0,94.0%,NA,NA,NA,0,NA,4,7,0.571,4.0,37,19.4%,1.49,0,NA,NA,NA,NA,NA,0.081,NA,55,vs GB,17,·,13.3,3.2,1.0
