WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
10,4046,Patrick Mahomes,QB,30.0,KC,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
10,6770,Joe Burrow,QB,28.8,CIN,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
10,9226,De'Von Achane,RB,24.0,MIA,2.0,2,3,40.5,37.5,34.5,1,1,1,53,47,0,0.0,0,0,0,0,0,0,0.00,174,0,0,0,0.00,0.00,6,-6,0,3,0,6,57,51,8.5,8.5,22,2,5,225,2,165,174,7.91,88.7%,11,7.50,0.500,7,1.250,10,28,0.357,10.0,NA,28.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,225,vs BUF,7,·,20.3,20.2
10,8130,Trey McBride,TE,25.8,ARI,1.0,1,1,27.7,23.2,18.7,1,1,1,76,64,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,9,69,0,5,1,13,58,127,14.1,9.8,0,0,0,127,0,NA,0,0,84.2%,NA,NA,NA,0,NA,6,13,0.462,6.0,41,28.9%,3.10,0,NA,NA,NA,NA,NA,0.122,NA,127,@ SEA,24,·,16.0,11.7
10,12507,Omarion Hampton,RB,22.5,LAC,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs PIT,23,IR,IR,IR
10,11620,Rome Odunze,WR,23.3,CHI,8.0,10,11,20.6,17.6,14.6,1,1,1,68,53,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,57,1,4,1,10,29,86,14.3,8.6,0,0,0,86,0,NA,0,0,77.9%,NA,NA,NA,0,NA,5,10,0.500,5.0,29,27.8%,2.97,0,NA,NA,NA,NA,NA,0.138,NA,86,vs NYG,7,·,12.3,8.3
10,12526,Tetairoa McMillan,WR,22.5,CAR,33.0,33,36,11,8.5,6,1,1,1,53,48,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,48,1,3,0,8,12,60,12.0,7.5,0,0,0,60,0,NA,0,0,90.6%,NA,NA,NA,0,NA,3,8,0.375,3.0,26,32.0%,2.31,0,NA,NA,NA,NA,NA,0.115,NA,60,vs NO,14,Q,12.6,-1.6
10,11560,Caleb Williams,QB,23.9,CHI,4.0,4,4,25.1,25.1,25.1,1,1,1,68,68,0,55.6,144,36,20,10,16,0,83.10,283,0,1,220,6.11,11.00,0,0,0,0,0,0,0,0,0.0,0.0,8,2,2,63,1,NA,63,7.88,100.0%,NA,NA,NA,3,NA,14,44,NA,NA,NA,NA,NA,11,30.6%,3.43,16.7%,29.3%,9.70,NA,41.00,283,vs NYG,7,·,18.1,7.0
10,12518,Tyler Warren,TE,23.4,IND,5.0,5,6,17.9,13.9,9.9,1,1,1,77,68,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,32,0,4,0,10,67,99,12.4,9.9,0,0,0,99,0,NA,0,0,88.3%,NA,NA,NA,0,NA,4,10,0.400,4.0,26,38.5%,3.81,0,NA,NA,NA,NA,NA,0.154,NA,99,vs ATL,32,·,12.8,5.1
10,12512,Quinshon Judkins,RB,21.9,CLE,26.0,26,27,10.5,9.5,8.5,1,1,1,73,38,0,0.0,0,0,0,0,0,0,0.00,75,0,0,0,0.00,0.00,2,2,0,0,0,3,8,10,5.0,3.3,22,0,5,85,0,62,75,3.41,52.1%,8,2.80,0.364,5,0.644,5,25,0.200,5.0,NA,9.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,85,@ NYJ,8,·,14.2,-3.7
10,11584,Bucky Irving,RB,23.1,TB,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs NE,29,OUT,OUT,OUT
10,11631,Brian Thomas Jr.,WR,23.0,JAX,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ HOU,29,OUT,OUT,OUT
10,8138,James Cook,RB,26.0,BUF,25.0,31,36,10.7,8.2,5.7,1,1,1,68,34,1,0.0,0,0,0,0,0,0,0.00,53,0,0,0,0.00,0.00,5,15,0,0,0,5,9,24,4.8,4.8,13,2,2,77,0,42,53,4.08,50.0%,4,3.20,0.308,2,0.628,2,18,0.111,2.0,NA,12.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,77,@ MIA,6,·,18.6,-7.9
10,4892,Baker Mayfield,QB,30.4,TB,7.0,7,7,22.92,22.92,22.92,1,1,1,69,69,0,65.1,141,43,28,11,15,0,106.10,273,2,3,273,6.35,9.75,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,100.0%,NA,NA,NA,0,NA,14,43,NA,NA,NA,NA,NA,14,32.6%,2.92,2.3%,28.9%,6.50,NA,45.00,273,vs NE,22,·,21.9,1.0
10,7569,Nico Collins,WR,26.5,HOU,5.0,5,8,22.6,19.1,15.6,1,1,1,75,67,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,114,0,5,0,15,22,136,19.4,9.1,0,0,0,136,0,NA,0,0,89.3%,NA,NA,NA,0,NA,5,15,0.333,5.0,43,33.3%,3.16,0,NA,NA,NA,NA,NA,0.116,NA,136,vs JAX,12,·,14.5,8.1
10,8146,Garrett Wilson,WR,25.2,NYJ,999.0,999,999,0,0,0,1,1,1,49,19,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,38.8%,NA,NA,NA,0,NA,0,3,0.000,0.0,10,27.3%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,vs CLE,13,Q,14.8,-14.8
10,6804,Jordan Love,QB,26.9,GB,24.0,24,24,7.84,7.84,7.84,1,1,1,68,68,2,55.6,105,36,20,10,16,0,68.80,204,3,0,176,4.89,8.80,0,0,0,0,0,0,0,0,0.0,0.0,5,0,2,28,0,NA,28,5.6,100.0%,NA,NA,NA,2,NA,12,41,NA,NA,NA,NA,NA,10,27.8%,2.85,8.3%,40.5%,9.20,NA,42.00,204,vs PHI,16,·,18.4,-10.6
10,10229,Rashee Rice,WR,25.4,KC,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
10,4866,Saquon Barkley,RB,28.6,PHI,20.0,20,19,13.1,11.6,10.1,1,1,1,63,44,0,0.0,0,0,0,0,0,0,0.00,60,0,0,0,0.00,0.00,3,-10,0,1,0,3,51,41,13.7,13.7,22,0,2,101,0,46,60,2.73,69.8%,4,2.10,0.182,2,0.392,3,25,0.120,3.0,NA,11.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,101,@ GB,28,·,16.4,-3.3
10,11563,Bo Nix,QB,25.6,DEN,25.0,25,25,7.8,7.8,7.8,1,1,1,61,61,0,57.1,73,28,16,4,12,2,54.20,148,1,1,150,5.36,9.38,0,0,0,0,0,0,0,0,0.0,0.0,5,0,2,-2,0,NA,-2,-0.4,100.0%,NA,NA,NA,2,NA,7,33,NA,NA,NA,NA,NA,5,17.9%,2.94,7.1%,34.5%,8.00,NA,29.00,148,vs LV,14,·,21.1,-13.3
10,12508,Jaxson Dart,QB,22.4,NYG,3.0,3,3,26.28,26.28,26.28,1,1,1,73,52,1,65.5,165,29,19,10,10,0,91.50,308,2,0,242,8.34,12.74,0,0,0,0,0,0,0,0,0.0,0.0,6,0,1,66,2,NA,66,11,71.2%,NA,NA,NA,3,NA,13,35,NA,NA,NA,NA,NA,10,34.5%,3.08,13.8%,30.3%,9.30,NA,33.00,308,@ CHI,6,·,24.1,2.2
10,11635,Ladd McConkey,WR,23.9,LAC,7.0,7,5,20.7,18.7,16.7,1,1,1,73,52,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,45,1,3,1,6,62,107,26.8,17.8,0,0,0,107,0,NA,0,0,71.2%,NA,NA,NA,0,NA,4,6,0.667,4.0,32,18.2%,3.34,0,NA,NA,NA,NA,NA,0.094,NA,107,vs PIT,3,·,13.7,7.0
10,4034,Christian McCaffrey,RB,29.3,SF,10.0,16,21,17.6,13.6,9.6,1,1,1,63,49,0,0.0,0,0,0,0,0,0,0.00,30,0,0,0,0.00,0.00,8,23,0,3,0,10,43,66,8.3,6.6,12,0,3,96,0,32,30,2.5,77.8%,7,2.70,0.583,3,0.853,6,22,0.273,6.0,NA,25.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,96,vs LAR,32,·,22.7,-5.1
